time,day,pickup,dropoff,probability
0,2,11,2,0.019889502762430938
0,2,21,2,0.10607734806629834
0,2,16,2,0.011049723756906077
0,2,26,2,0.04751381215469613
0,2,6,2,0.07624309392265194
0,2,27,2,0.03756906077348066
0,2,7,2,0.0011049723756906078
0,2,12,2,0.0011049723756906078
0,2,22,2,0.0861878453038674
0,2,23,2,0.07624309392265194
0,2,17,2,0.014364640883977901
0,2,28,2,0.020994475138121547
0,2,2,2,0.012154696132596685
0,2,13,2,0.08176795580110498
0,2,8,2,0.032044198895027624
0,2,19,2,0.07845303867403315
0,2,29,2,0.057458563535911604
0,2,4,2,0.03314917127071823
0,2,15,2,0.0055248618784530384
0,2,9,2,0.06408839779005525
0,2,20,2,0.056353591160221
0,2,5,2,0.017679558011049725
0,2,0,2,0.03425414364640884
0,2,10,2,0.028729281767955802
